1621425717,924018883,2020-04-01,1,NT,P,4052,NG,DIRECT BIKES,UNCLASSIFIED,BLUE,PE,124,2016-06-01,ERROR - Less than 14 OR UNCLASSIFIED
1034100493,502339347,2020-04-01,1,NT,F,3427,SN,DIRECT BIKES,UNCLASSIFIED,BLUE,PE,49,2010-08-12,ERROR - Less than 14 OR UNCLASSIFIED
349385809,1073884774,2020-04-01,2,NT,P,16652,BD,SUZUKI,UNCLASSIFIED,WHITE,PE,1135,1986-04-11,ERROR - Less than 14 OR UNCLASSIFIED
1507513707,1242590916,2020-04-01,2,NT,P,3140,NN,HARLEY DAVIDSON,UNCLASSIFIED,BLACK,PE,1000,1981-12-31,ERROR - Less than 14 OR UNCLASSIFIED
1799036385,1415375031,2020-04-01,4,NT,P,148477,CB,TOYOTA,UNCLASSIFIED,WHITE,PE,4700,2006-12-31,ERROR - Less than 14 OR UNCLASSIFIED
694455617,113808241,2020-04-01,4,NT,P,9772,NP,FIAT,UNCLASSIFIED,BLUE,DI,2287,2014-05-01,ERROR - Less than 14 OR UNCLASSIFIED
26511237,1099231082,2020-04-01,1,NT,P,18185,CT,PIAGGIO,UNCLASSIFIED,BLACK,PE,125,2008-08-04,ERROR - Less than 14 OR UNCLASSIFIED
234478929,1205946309,2020-04-01,4,NT,P,18074,DL,BEDFORD,UNCLASSIFIED,WHITE,PE,2279,1978-08-01,ERROR - Less than 14 OR UNCLASSIFIED
1478301747,1317288025,2020-04-01,4,NT,PRS,22652,OX,CHAUSSON,UNCLASSIFIED,WHITE,DI,2300,2015-03-08,ERROR - Less than 14 OR UNCLASSIFIED
7998947,300712385,2020-04-01,4,NT,P,73506,SG,FORD KUGA TITANIUM X 4X4 TDCI AUTO,UNCLASSIFIED,BLUE,DI,1997,2012-10-18,ERROR - Less than 14 OR UNCLASSIFIED
1208775331,1401506551,2020-04-01,4,NT,P,70705,NG,MERCEDES,UNCLASSIFIED,GREY,PE,4966,2003-01-24,ERROR - Less than 14 OR UNCLASSIFIED
169834181,346274623,2020-04-01,4,NT,P,21317,KA,MINI MAYFAIR,UNCLASSIFIED,RED,PE,998,1993-09-01,ERROR - Less than 14 OR UNCLASSIFIED
1726229849,1324765642,2020-04-01,2,NT,P,19098,CT,HONDA,UNCLASSIFIED,RED,PE,649,2004-12-14,ERROR - Less than 14 OR UNCLASSIFIED
1341199631,1426300816,2020-04-01,4,NT,P,61153,BB,MERCEDES,UNCLASSIFIED,WHITE,DI,2151,2002-08-16,ERROR - Less than 14 OR UNCLASSIFIED
